kuznia1_KNN_3_distanceAlgorithm_PROBABILITY_Algorithms_MAGNETIC
MEAN
#;X;Y;XY
LICZBA_PUNKTOW_ODNIESIENIA 7/49 2/49 2/49
PROCENT_PUNKTOW_ODNIESIENIA 14.285714285714285 4.081632653061225 4.081632653061225
LISTA_PUNKTOW_ODNIESIENIA y,7,ad,ae,ao,ap,6, ao,ap, ao,ap,
MAX
#;X;Y;XY
LICZBA_PUNKTOW_ODNIESIENIA 7/49 2/49 2/49
PROCENT_PUNKTOW_ODNIESIENIA 14.285714285714285 4.081632653061225 4.081632653061225
LISTA_PUNKTOW_ODNIESIENIA y,7,ad,ae,ao,ap,6, ao,ap, ao,ap,
MIN
#;X;Y;XY
LICZBA_PUNKTOW_ODNIESIENIA 7/49 2/49 2/49
PROCENT_PUNKTOW_ODNIESIENIA 14.285714285714285 4.081632653061225 4.081632653061225
LISTA_PUNKTOW_ODNIESIENIA y,7,ad,ae,ao,ap,6, ao,ap, ao,ap,
MEDIANA
#;X;Y;XY
LICZBA_PUNKTOW_ODNIESIENIA 7/49 2/49 2/49
PROCENT_PUNKTOW_ODNIESIENIA 14.285714285714285 4.081632653061225 4.081632653061225
LISTA_PUNKTOW_ODNIESIENIA y,7,ad,ae,ao,ap,6, ao,ap, ao,ap,
MODE
#;X;Y;XY
LICZBA_PUNKTOW_ODNIESIENIA 7/49 2/49 2/49
PROCENT_PUNKTOW_ODNIESIENIA 14.285714285714285 4.081632653061225 4.081632653061225
LISTA_PUNKTOW_ODNIESIENIA y,7,ad,ae,ao,ap,6, ao,ap, ao,ap,
PERCENTILE  -  10
#;X;Y;XY
LICZBA_PUNKTOW_ODNIESIENIA 7/49 2/49 2/49
PROCENT_PUNKTOW_ODNIESIENIA 14.285714285714285 4.081632653061225 4.081632653061225
LISTA_PUNKTOW_ODNIESIENIA y,7,ad,ae,ao,ap,6, ao,ap, ao,ap,
PERCENTILE  -  20
#;X;Y;XY
LICZBA_PUNKTOW_ODNIESIENIA 7/49 2/49 2/49
PROCENT_PUNKTOW_ODNIESIENIA 14.285714285714285 4.081632653061225 4.081632653061225
LISTA_PUNKTOW_ODNIESIENIA y,7,ad,ae,ao,ap,6, ao,ap, ao,ap,
PERCENTILE  -  50
#;X;Y;XY
LICZBA_PUNKTOW_ODNIESIENIA 7/49 2/49 2/49
PROCENT_PUNKTOW_ODNIESIENIA 14.285714285714285 4.081632653061225 4.081632653061225
